Date,Weekday,Annual_Yield
2018-07-06,Friday,0.005
2018-07-13,Friday,0.0046
2018-07-20,Friday,0.0047
2018-07-27,Friday,0.0056
2018-08-03,Friday,0.0057
2018-08-10,Friday,0.0047
2018-08-17,Friday,0.0048
2018-08-24,Friday,0.005
2018-08-31,Friday,0.005
2018-09-07,Friday,0.0056
2018-09-14,Friday,0.0058
2018-09-21,Friday,0.0062
2018-09-28,Friday,0.0063
2018-10-05,Friday,0.0072
2018-10-12,Friday,0.0072
2018-10-19,Friday,0.0066
2018-10-26,Friday,0.006
2018-11-02,Friday,0.0067
2018-11-09,Friday,0.0066
2018-11-16,Friday,0.0058
2018-11-23,Friday,0.0054
2018-11-30,Friday,0.0049
2018-12-07,Friday,0.0047
2018-12-14,Friday,0.0047
2018-12-21,Friday,0.0047
2018-12-28,Friday,0.0046
2019-01-04,Friday,0.0041
2019-01-11,Friday,0.004
2019-01-18,Friday,0.0046
2019-01-25,Friday,0.0042
2019-02-01,Friday,0.0039
2019-02-08,Friday,0.0032
2019-02-15,Friday,0.0037
2019-02-22,Friday,0.0031
2019-03-01,Friday,0.0042
2019-03-08,Friday,0.0029
2019-03-15,Friday,0.0032
2019-03-22,Friday,0.0022
2019-03-29,Friday,0.0018
2019-04-05,Friday,0.0041
2019-04-12,Friday,0.0042
2019-04-19,Friday,0.0042
2019-04-26,Friday,0.0027
2019-05-03,Friday,0.0032
2019-05-10,Friday,0.0022
2019-05-17,Friday,0.0019
2019-05-24,Friday,0.002
2019-05-31,Friday,0.0011
2019-06-07,Friday,0.0005
2019-06-14,Friday,0.0006
2019-06-21,Friday,0.0002
2019-06-28,Friday,0.0003
2019-07-05,Friday,0.0
2019-07-12,Friday,0.0015
2019-07-19,Friday,0.0003
2019-07-26,Friday,-0.0004
2019-08-02,Friday,-0.0018
2019-08-09,Friday,-0.0024
2019-08-16,Friday,-0.0041
2019-08-23,Friday,-0.0029
2019-08-30,Friday,-0.0036
2019-09-06,Friday,-0.0023
2019-09-13,Friday,-0.0012
2019-09-20,Friday,-0.002
2019-09-27,Friday,-0.0028
2019-10-04,Friday,-0.0033
2019-10-11,Friday,-0.0018
2019-10-18,Friday,-0.0008
2019-10-25,Friday,-0.0003
2019-11-01,Friday,-0.0011
2019-11-08,Friday,0.0007
2019-11-15,Friday,0.0
2019-11-22,Friday,-0.0003
2019-11-29,Friday,0.0002
2019-12-06,Friday,0.0005
2019-12-13,Friday,0.0008
2019-12-20,Friday,0.0011
2019-12-27,Friday,0.0011
2020-01-03,Friday,0.0013
2020-01-10,Friday,0.0017
2020-01-17,Friday,0.0015
2020-01-24,Friday,0.0007
2020-01-31,Friday,-0.0005
2020-02-07,Friday,0.0004
2020-02-14,Friday,0.0001
2020-02-21,Friday,-0.0011
2020-02-28,Friday,-0.0028
2020-03-06,Friday,-0.0037
2020-03-13,Friday,-0.0017
2020-03-20,Friday,0.0002
2020-03-27,Friday,-0.0008
2020-04-03,Friday,-0.0016
2020-04-10,Friday,0.0002
2020-04-17,Friday,-0.0006
2020-04-24,Friday,-0.0006
2020-05-01,Friday,-0.001
2020-05-08,Friday,-0.0009
2020-05-15,Friday,-0.0007
2020-05-22,Friday,-0.0005
2020-05-29,Friday,-0.0003
2020-06-05,Friday,0.0006
2020-06-12,Friday,0.0
2020-06-19,Friday,0.0002
2020-06-26,Friday,-0.0007
2020-07-03,Friday,-0.0006
2020-07-10,Friday,-0.001
2020-07-17,Friday,-0.0008
2020-07-24,Friday,-0.0006
2020-07-31,Friday,-0.0008
2020-08-07,Friday,-0.001
2020-08-14,Friday,-0.0001
2020-08-21,Friday,-0.0007
2020-08-28,Friday,0.0002
2020-09-04,Friday,-0.0005
2020-09-11,Friday,-0.0008
2020-09-18,Friday,-0.0009
2020-09-25,Friday,-0.0011
2020-10-02,Friday,-0.0001
2020-10-09,Friday,0.0001
2020-10-16,Friday,-0.0008
2020-10-23,Friday,-0.0001
2020-10-30,Friday,-0.0006
2020-11-06,Friday,-0.0003
2020-11-13,Friday,0.0001
2020-11-20,Friday,-0.0002
2020-11-27,Friday,-0.0001
2020-12-04,Friday,0.0006
2020-12-11,Friday,-0.0005
2020-12-18,Friday,0.0
2020-12-25,Friday,-0.0001
2021-01-01,Friday,0.0003
2021-01-08,Friday,0.0007
2021-01-15,Friday,0.0005
2021-01-22,Friday,0.0009
2021-01-29,Friday,0.001
2021-02-05,Friday,0.0017
2021-02-12,Friday,0.002
2021-02-19,Friday,0.0033
2021-02-26,Friday,0.0042
2021-03-05,Friday,0.0046
2021-03-12,Friday,0.004
2021-03-19,Friday,0.0044
2021-03-26,Friday,0.0036
2021-04-02,Friday,0.0037
2021-04-09,Friday,0.0035
2021-04-16,Friday,0.0037
2021-04-23,Friday,0.0037
2021-04-30,Friday,0.004
2021-05-07,Friday,0.0037
2021-05-14,Friday,0.0045
2021-05-21,Friday,0.0045
2021-05-28,Friday,0.0042
2021-06-04,Friday,0.0041
2021-06-11,Friday,0.0032
2021-06-18,Friday,0.0033
2021-06-25,Friday,0.0034
2021-07-02,Friday,0.003
2021-07-09,Friday,0.002
2021-07-16,Friday,0.0016
2021-07-23,Friday,0.0014
2021-07-30,Friday,0.0011
2021-08-06,Friday,0.0011
2021-08-13,Friday,0.0013
2021-08-20,Friday,0.0007
2021-08-27,Friday,0.0016
2021-09-03,Friday,0.0021
2021-09-10,Friday,0.0021
2021-09-17,Friday,0.0032
2021-09-24,Friday,0.0034
2021-10-01,Friday,0.0037
2021-10-08,Friday,0.0039
2021-10-15,Friday,0.0036
2021-10-22,Friday,0.0042
2021-10-29,Friday,0.0037
2021-11-05,Friday,0.0025
2021-11-12,Friday,0.0027
2021-11-19,Friday,0.0021
2021-11-26,Friday,0.002
2021-12-03,Friday,0.0011
2021-12-10,Friday,0.0009
2021-12-17,Friday,0.0012
2021-12-24,Friday,0.0018
2021-12-31,Friday,0.0024
2022-01-07,Friday,0.0038
2022-01-14,Friday,0.0037
2022-01-21,Friday,0.0033
2022-01-28,Friday,0.0037
2022-02-04,Friday,0.0063
2022-02-11,Friday,0.0064
2022-02-18,Friday,0.0059
2022-02-25,Friday,0.0061
2022-03-04,Friday,0.0036
2022-03-11,Friday,0.0068
2022-03-18,Friday,0.0084
2022-03-25,Friday,0.0117
2022-04-01,Friday,0.0121
2022-04-08,Friday,0.0143
2022-04-15,Friday,0.0146
2022-04-22,Friday,0.0161
2022-04-29,Friday,0.017
2022-05-06,Friday,0.0198
2022-05-13,Friday,0.0175
2022-05-20,Friday,0.0171
2022-05-27,Friday,0.0152
2022-06-03,Friday,0.0176
2022-06-10,Friday,0.0178
2022-06-17,Friday,0.0199
2022-06-24,Friday,0.0182
2022-07-01,Friday,0.0157
2022-07-08,Friday,0.0148
2022-07-15,Friday,0.0158
2022-07-22,Friday,0.0149
2022-07-29,Friday,0.0141
2022-08-05,Friday,0.0147
2022-08-12,Friday,0.0145
2022-08-19,Friday,0.0166
2022-08-26,Friday,0.0194
2022-09-02,Friday,0.0195
2022-09-09,Friday,0.0197
2022-09-16,Friday,0.0199
2022-09-23,Friday,0.0218
2022-09-30,Friday,0.0225
2022-10-07,Friday,0.022
2022-10-14,Friday,0.0216
2022-10-21,Friday,0.0233
2022-10-28,Friday,0.0216
2022-11-04,Friday,0.0215
2022-11-11,Friday,0.0206
2022-11-18,Friday,0.0197
2022-11-25,Friday,0.019
2022-12-02,Friday,0.0175
2022-12-09,Friday,0.0171
2022-12-16,Friday,0.0203
2022-12-23,Friday,0.0227
2022-12-30,Friday,0.0246
2023-01-06,Friday,0.0223
2023-01-13,Friday,0.0191
2023-01-20,Friday,0.0195
2023-01-27,Friday,0.0204
2023-02-03,Friday,0.0186
2023-02-10,Friday,0.0239
2023-02-17,Friday,0.0244
2023-02-24,Friday,0.0266
2023-03-03,Friday,0.0268
2023-03-10,Friday,0.0239
2023-03-17,Friday,0.022
2023-03-24,Friday,0.0211
2023-03-31,Friday,0.0228
2023-04-07,Friday,0.0217
2023-04-14,Friday,0.0238
2023-04-21,Friday,0.0246
2023-04-28,Friday,0.0231
2023-05-05,Friday,0.0234
2023-05-12,Friday,0.0226
2023-05-19,Friday,0.024
2023-05-26,Friday,0.0245
2023-06-02,Friday,0.0237
2023-06-09,Friday,0.0237
2023-06-16,Friday,0.0249
2023-06-23,Friday,0.0265
2023-06-30,Friday,0.0257
2023-07-07,Friday,0.0262
2023-07-14,Friday,0.0253
2023-07-21,Friday,0.0249
2023-07-28,Friday,0.0251
2023-08-04,Friday,0.0266
2023-08-11,Friday,0.0278
2023-08-18,Friday,0.0286
2023-08-25,Friday,0.0281
2023-09-01,Friday,0.0279
2023-09-08,Friday,0.0284
2023-09-15,Friday,0.0283
2023-09-22,Friday,0.0295
2023-09-29,Friday,0.0295
2023-10-06,Friday,0.0309
2023-10-13,Friday,0.029
2023-10-20,Friday,0.0306
2023-10-27,Friday,0.0298
2023-11-03,Friday,0.0287
2023-11-10,Friday,0.0285
2023-11-17,Friday,0.0271
2023-11-24,Friday,0.0274
2023-12-01,Friday,0.0256
2023-12-08,Friday,0.0239
2023-12-15,Friday,0.021
2023-12-22,Friday,0.0202
2023-12-29,Friday,0.0205
2024-01-05,Friday,0.0221
2024-01-12,Friday,0.0214
2024-01-19,Friday,0.023
2024-01-26,Friday,0.0233
2024-02-02,Friday,0.0221
2024-02-09,Friday,0.0239
2024-02-16,Friday,0.0247
2024-02-23,Friday,0.025
2024-03-01,Friday,0.0252
2024-03-08,Friday,0.0224
2024-03-15,Friday,0.0244
2024-03-22,Friday,0.0239
2024-03-29,Friday,0.0232
2024-04-05,Friday,0.0248
2024-04-12,Friday,0.0241
2024-04-19,Friday,0.0248
2024-04-26,Friday,0.0251
2024-05-03,Friday,0.024
2024-05-10,Friday,0.0234
2024-05-17,Friday,0.0232
2024-05-24,Friday,0.0247
2024-05-31,Friday,0.0244
2024-06-07,Friday,0.0239
2024-06-14,Friday,0.0216
2024-06-21,Friday,0.0222
2024-06-28,Friday,0.022
2024-07-05,Friday,0.0226
2024-07-12,Friday,0.0212
2024-07-19,Friday,0.0208
2024-07-26,Friday,0.0207
2024-08-02,Friday,0.0186
2024-08-09,Friday,0.0193
2024-08-16,Friday,0.0193
2024-08-23,Friday,0.0191
2024-08-30,Friday,0.0204
2024-09-06,Friday,0.0199
2024-09-13,Friday,0.0186
2024-09-20,Friday,0.0195
2024-09-27,Friday,0.0193
2024-10-04,Friday,0.0204
2024-10-11,Friday,0.0207
2024-10-18,Friday,0.0201
2024-10-25,Friday,0.0205
2024-11-01,Friday,0.0204
2024-11-08,Friday,0.0214
2024-11-15,Friday,0.0208
2024-11-22,Friday,0.0205
2024-11-29,Friday,0.0194
2024-12-06,Friday,0.0201
2024-12-13,Friday,0.0212
2024-12-20,Friday,0.0222
2024-12-27,Friday,0.0236
2025-01-03,Friday,0.023
2025-01-10,Friday,0.0238
2025-01-17,Friday,0.0229
2025-01-24,Friday,0.0235
2025-01-31,Friday,0.022
2025-02-07,Friday,0.0221
2025-02-14,Friday,0.0229
2025-02-21,Friday,0.023
2025-02-28,Friday,0.0222
2025-03-07,Friday,0.0254
2025-03-14,Friday,0.0265
2025-03-21,Friday,0.0264
2025-03-28,Friday,0.0269
2025-04-04,Friday,0.0246
2025-04-11,Friday,0.0234
2025-04-18,Friday,0.024
2025-04-25,Friday,0.0236
2025-05-02,Friday,0.0238
2025-05-09,Friday,0.0234
2025-05-16,Friday,0.0238
2025-05-23,Friday,0.024
2025-05-30,Friday,0.0235
2025-06-06,Friday,0.0225
2025-06-13,Friday,0.0233
2025-06-20,Friday,0.0225
2025-06-27,Friday,0.0227
2025-07-04,Friday,0.0226
2025-07-11,Friday,0.0235
2025-07-18,Friday,0.0241
2025-07-25,Friday,0.0242
2025-08-01,Friday,0.024
2025-08-08,Friday,0.0242
2025-08-15,Friday,0.0245
2025-08-22,Friday,0.0244
2025-08-29,Friday,0.0251
2025-09-05,Friday,0.0248
2025-09-12,Friday,0.0252
2025-09-19,Friday,0.0263
2025-09-26,Friday,0.0268
2025-10-03,Friday,0.0267
2025-10-10,Friday,0.0264
2025-10-17,Friday,0.0253
2025-10-24,Friday,0.0255
